#--------------------------------------------------------------------------
# Transmittance and reflectance of a multilayered film at 
# 0.3 - 1.0 um wavelength range computed by the transfer matrix method. 
#
# The multilayered film consist of:  
#   50 nm   silver
#   500 nm  dielectric (N = 1.5)
#   200 nm  silver
#
# F. Ramirez 2022
#--------------------------------------------------------------------------
# column 1: wavelength (um)
# column 2: Reflectance
# column 3: Transmittance
#
0.380180 0.954299 0.000000
0.381081 0.955846 0.000000
0.381982 0.957177 0.000000
0.382883 0.958293 0.000000
0.383784 0.959370 0.000000
0.384685 0.960410 0.000000
0.385586 0.961416 0.000000
0.386486 0.962390 0.000000
0.387387 0.963333 0.000000
0.388288 0.964249 0.000000
0.389189 0.965137 0.000000
0.390090 0.965999 0.000000
0.390991 0.966681 0.000000
0.391892 0.967113 0.000000
0.392793 0.967539 0.000000
0.393694 0.967958 0.000000
0.394595 0.968368 0.000000
0.395495 0.968765 0.000000
0.396396 0.969145 0.000000
0.397297 0.969499 0.000000
0.398198 0.969819 0.000000
0.399099 0.970090 0.000000
0.400000 0.970388 0.000001
0.400901 0.970799 0.000001
0.401802 0.971058 0.000001
0.402703 0.971105 0.000001
0.403604 0.970846 0.000001
0.404505 0.970133 0.000001
0.405405 0.968723 0.000001
0.406306 0.966209 0.000001
0.407207 0.961862 0.000001
0.408108 0.954312 0.000002
0.409009 0.940722 0.000002
0.409910 0.914593 0.000003
0.410811 0.860403 0.000005
0.411712 0.735344 0.000009
0.412613 0.433996 0.000017
0.413514 0.020938 0.000026
0.414414 0.204856 0.000018
0.415315 0.536609 0.000009
0.416216 0.710517 0.000005
0.417117 0.798073 0.000003
0.418018 0.846703 0.000002
0.418919 0.876299 0.000001
0.419820 0.895707 0.000001
0.420721 0.909207 0.000001
0.421622 0.919042 0.000000
0.422523 0.926479 0.000000
0.423423 0.932275 0.000000
0.424324 0.936906 0.000000
0.425225 0.940687 0.000000
0.426126 0.943829 0.000000
0.427027 0.946484 0.000000
0.427928 0.948806 0.000000
0.428829 0.950814 0.000000
0.429730 0.952568 0.000000
0.430631 0.954116 0.000000
0.431532 0.955493 0.000000
0.432432 0.956727 0.000000
0.433333 0.957840 0.000000
0.434234 0.958851 0.000000
0.435135 0.959774 0.000000
0.436036 0.960621 0.000000
0.436937 0.961427 0.000000
0.437838 0.962174 0.000000
0.438739 0.962869 0.000000
0.439640 0.963517 0.000000
0.440541 0.964123 0.000000
0.441441 0.964693 0.000000
0.442342 0.965229 0.000000
0.443243 0.965736 0.000000
0.444144 0.966215 0.000000
0.445045 0.966670 0.000000
0.445946 0.967144 0.000000
0.446847 0.967600 0.000000
0.447748 0.968036 0.000000
0.448649 0.968452 0.000000
0.449550 0.968851 0.000000
0.450450 0.969233 0.000000
0.451351 0.969601 0.000000
0.452252 0.969954 0.000000
0.453153 0.970294 0.000000
0.454054 0.970622 0.000000
0.454955 0.970936 0.000000
0.455856 0.971237 0.000000
0.456757 0.971529 0.000000
0.457658 0.971812 0.000000
0.458559 0.972085 0.000000
0.459459 0.972351 0.000000
0.460360 0.972608 0.000000
0.461261 0.972859 0.000000
0.462162 0.973102 0.000000
